EDateID,ExpiryYear,ExpiryQuarter,ExpiryMonth,ExpiryWeek,ExpiryDay
222,2026,4,1,25,24
125,2024,2,6,31,6
28,2024,4,7,44,30
244,2026,1,4,27,28
236,2025,4,6,47,22
231,2025,3,12,52,18
167,2024,2,10,14,19
175,2025,3,8,17,25
5,2025,1,6,42,3
197,2026,3,1,24,23
19,2024,1,1,16,8
139,2026,1,7,52,7
118,2024,3,2,10,18
273,2025,1,6,42,9
273,2025,2,12,10,3
14,2026,3,11,6,27
143,2024,2,1,28,12
179,2024,2,6,39,12
157,2026,4,9,43,21
150,2026,3,4,44,10
181,2026,2,11,52,15
184,2026,2,1,45,13
260,2026,2,11,49,2
107,2026,1,12,10,15
266,2024,3,3,26,19
192,2025,4,8,24,26
163,2025,1,5,34,9
212,2025,4,12,44,15
56,2025,3,8,50,12
165,2026,4,1,13,18
16,2024,4,9,28,12
14,2024,3,6,33,18
286,2024,1,2,34,30
57,2026,3,6,1,3
113,2025,1,8,5,16
53,2025,1,7,45,24
218,2024,3,10,19,12
14,2025,1,4,48,9
261,2026,3,10,22,6
60,2025,2,12,50,8
273,2025,3,3,14,17
256,2026,2,7,35,27
279,2025,4,2,19,17
50,2026,3,6,45,25
261,2024,4,3,8,9
67,2025,1,7,34,31
50,2026,4,2,27,11
263,2024,1,4,38,17
58,2024,1,11,15,14
254,2025,3,10,49,15
142,2024,4,11,11,11
121,2026,1,5,16,26
265,2024,4,6,16,10
262,2024,2,1,20,2
57,2024,1,1,9,15
48,2024,2,3,7,28
9,2026,1,3,50,2
141,2025,3,2,30,10
113,2026,2,8,9,23
206,2024,2,7,24,30
101,2026,1,8,34,4
23,2025,3,10,50,6
230,2026,1,3,46,26
73,2024,2,1,10,24
129,2024,1,9,13,2
6,2024,2,6,39,16
196,2026,2,9,36,9
37,2025,4,4,19,7
177,2024,1,10,6,15
167,2025,1,1,50,23
291,2026,3,5,44,29
84,2024,1,8,52,17
142,2025,1,2,33,30
2,2025,3,12,32,22
228,2024,4,8,48,23
44,2025,4,10,43,21
90,2025,4,11,6,5
247,2024,1,8,45,22
88,2026,1,10,21,12
77,2024,1,10,47,10
26,2025,2,3,8,25
98,2025,4,2,41,6
261,2026,3,7,1,6
298,2025,3,11,16,28
81,2026,2,4,27,18
134,2024,1,2,9,15
157,2024,4,12,25,20
123,2024,2,4,1,7
283,2024,3,8,3,10
141,2026,1,11,39,31
267,2025,3,9,22,16
124,2025,1,6,1,1
276,2024,1,2,37,4
217,2024,3,1,25,12
13,2026,1,5,34,20
53,2025,1,5,21,15
191,2024,3,11,32,2
195,2026,3,7,52,7
154,2025,2,2,12,29
241,2026,1,4,25,15
42,2026,1,4,41,11
39,2024,2,1,33,19
19,2026,4,7,17,20
284,2026,2,1,40,14
41,2025,3,8,34,4
118,2026,2,5,21,6
58,2025,3,1,8,17
255,2025,2,10,11,18
44,2024,2,6,12,25
91,2026,2,5,34,13
108,2025,3,6,19,26
32,2024,3,7,8,21
159,2026,3,3,34,24
133,2026,1,12,46,25
145,2025,3,7,37,5
37,2026,4,2,42,9
23,2026,1,1,15,12
61,2025,3,5,36,16
33,2024,4,7,13,20
85,2025,3,3,46,11
88,2026,2,3,32,31
275,2025,3,2,30,26
110,2025,1,4,15,15
181,2024,4,2,6,13
136,2026,4,2,9,21
104,2026,1,4,27,12
74,2026,3,10,25,27
14,2025,1,1,23,17
142,2026,4,8,1,23
283,2024,3,12,52,26
93,2025,2,12,49,22
121,2025,2,12,32,1
248,2024,2,5,38,7
47,2026,3,9,42,25
234,2025,4,12,6,1
171,2024,4,11,22,5
82,2026,1,6,45,6
172,2025,4,4,47,4
82,2025,4,7,3,20
208,2026,1,12,16,11
136,2025,2,9,45,2
243,2026,3,1,21,1
214,2025,4,9,35,25
260,2025,4,3,29,26
235,2025,1,12,52,8
52,2024,4,11,31,15
15,2025,2,7,45,31
48,2026,4,1,22,2
185,2026,1,7,4,12
282,2025,1,10,2,26
148,2024,1,8,28,18
109,2025,2,11,34,31
294,2026,3,2,17,6
202,2026,4,1,22,20
283,2025,2,3,6,21
66,2025,2,2,49,30
276,2025,4,11,27,21
158,2026,4,10,3,13
29,2025,2,1,35,9
11,2024,2,5,5,13
190,2025,2,6,35,4
99,2024,2,2,51,8
32,2025,2,1,46,29
100,2024,2,6,51,15
83,2025,2,8,51,27
44,2026,2,4,48,11
174,2026,1,6,8,16
28,2026,3,9,24,24
